,Fp1,F3,Pz,P4,CP2,AF3,AFz,P2
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pz,0.0,0.0,0.32,0.32,0.3176470588235294,0.042352941176470586,0.0,0.0
P4,0.0,0.0,0.32,0.32,0.3176470588235294,0.042352941176470586,0.0,0.0
CP2,0.0,0.0,0.32,0.32,0.3176470588235294,0.042352941176470586,0.0,0.0
AF3,0.0,0.0,0.2535211267605634,0.2535211267605634,0.2535211267605634,0.23943661971830985,0.0,0.0
AFz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
