,caudalmiddlefrontal-rh,inferiorparietal-rh,parsopercularis-lh,parstriangularis-rh,postcentral-rh,rostralmiddlefrontal-lh,superiortemporal-lh,superiortemporal-rh
caudalmiddlefrontal-rh,0.16393442622950818,0.10655737704918032,0.08196721311475409,0.1721311475409836,0.14754098360655737,0.13114754098360656,0.06557377049180328,0.13114754098360656
inferiorparietal-rh,0.14893617021276595,0.13829787234042554,0.05319148936170213,0.14893617021276595,0.14893617021276595,0.14893617021276595,0.06382978723404255,0.14893617021276595
parsopercularis-lh,0.1724137931034483,0.05172413793103448,0.15517241379310345,0.1724137931034483,0.13793103448275862,0.10344827586206896,0.10344827586206896,0.10344827586206896
parstriangularis-rh,0.16129032258064516,0.10483870967741936,0.08064516129032258,0.18548387096774194,0.14516129032258066,0.12903225806451613,0.06451612903225806,0.12903225806451613
postcentral-rh,0.15966386554621848,0.1092436974789916,0.08403361344537816,0.15966386554621848,0.15126050420168066,0.13445378151260504,0.06722689075630252,0.13445378151260504
rostralmiddlefrontal-lh,0.15178571428571427,0.11607142857142858,0.07142857142857142,0.15178571428571427,0.15178571428571427,0.14285714285714285,0.07142857142857142,0.14285714285714285
superiortemporal-lh,0.14035087719298245,0.07017543859649122,0.14035087719298245,0.14035087719298245,0.14035087719298245,0.12280701754385964,0.12280701754385964,0.12280701754385964
superiortemporal-rh,0.15178571428571427,0.11607142857142858,0.07142857142857142,0.15178571428571427,0.15178571428571427,0.14285714285714285,0.07142857142857142,0.14285714285714285
