,FT9,TP9,CP5,Cz,Fp2,AF3,C2,AF8
FT9,0.20833333333333334,0.0,0.0,0.16666666666666666,0.125,0.16666666666666666,0.16666666666666666,0.16666666666666666
TP9,0.0,0.5,0.0,0.0,0.45,0.05,0.0,0.0
CP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cz,0.047619047619047616,0.0,0.0,0.31746031746031744,0.0,0.2222222222222222,0.1746031746031746,0.23809523809523808
Fp2,0.07894736842105263,0.39473684210526316,0.0,0.0,0.5263157894736842,0.0,0.0,0.0
AF3,0.046875,0.0625,0.0,0.21875,0.0,0.265625,0.171875,0.234375
C2,0.06382978723404255,0.0,0.0,0.23404255319148937,0.0,0.23404255319148937,0.2127659574468085,0.2553191489361702
AF8,0.05263157894736842,0.017543859649122806,0.0,0.24561403508771928,0.0,0.24561403508771928,0.19298245614035087,0.24561403508771928
