,FT9,TP9,F8,Fp2,AF7,FT7,AF8,AF4
FT9,0.375,0.5,0.0,0.125,0.0,0.0,0.0,0.0
TP9,0.1875,0.75,0.0,0.0625,0.0,0.0,0.0,0.0
F8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fp2,0.4,0.4,0.0,0.2,0.0,0.0,0.0,0.0
AF7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
