,Fp1,Fz,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F7,0.0,0.0,0.06309148264984227,0.006309148264984227,0.03470031545741325,0.0,0.0031545741324921135,0.0,0.012618296529968454,0.0694006309148265,0.0694006309148265,0.0,0.0031545741324921135,0.0694006309148265,0.06624605678233439,0.06624605678233439,0.0,0.0,0.056782334384858045,0.06624605678233439,0.0,0.0,0.0,0.0,0.0031545741324921135,0.0,0.04100946372239748,0.0,0.0,0.04416403785488959,0.0,0.012618296529968454,0.0,0.0,0.022082018927444796,0.0,0.0,0.0,0.0,0.0,0.0,0.0694006309148265,0.0,0.006309148264984227,0.0,0.0,0.012618296529968454,0.0031545741324921135,0.031545741324921134,0.0,0.025236593059936908,0.0,0.06624605678233439,0.0,0.05993690851735016,0.0,0.0,0.0,0.015772870662460567,0.0,0.0
FT9,0.0,0.0,0.046153846153846156,0.03076923076923077,0.046153846153846156,0.0,0.0,0.0,0.046153846153846156,0.046153846153846156,0.046153846153846156,0.0,0.0,0.046153846153846156,0.046153846153846156,0.046153846153846156,0.0,0.0,0.046153846153846156,0.046153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.046153846153846156,0.0,0.0,0.046153846153846156,0.0,0.046153846153846156,0.0,0.0,0.046153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.046153846153846156,0.0,0.0,0.0,0.0,0.046153846153846156,0.0,0.046153846153846156,0.0,0.046153846153846156,0.0,0.046153846153846156,0.0,0.046153846153846156,0.0,0.0,0.0,0.046153846153846156,0.0,0.0
FC5,0.0,0.0,0.06,0.01,0.05,0.0,0.0,0.0,0.02,0.06,0.06,0.0,0.0,0.06,0.055,0.055,0.0,0.0,0.055,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.055,0.0,0.02,0.0,0.0,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.005,0.0,0.0,0.02,0.0,0.045,0.0,0.035,0.0,0.055,0.0,0.055,0.0,0.0,0.0,0.025,0.0,0.0
FC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3,0.0,0.0,0.0,0.0,0.0,0.0,0.042105263157894736,0.04736842105263158,0.0,0.0,0.0,0.04736842105263158,0.04736842105263158,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.042105263157894736,0.031578947368421054,0.031578947368421054,0.04736842105263158,0.04736842105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03684210526315789,0.0,0.04736842105263158,0.04736842105263158,0.0,0.0,0.04736842105263158,0.04736842105263158,0.0,0.042105263157894736,0.03684210526315789,0.04736842105263158,0.03684210526315789,0.0,0.042105263157894736,0.0,0.0,0.0,0.042105263157894736,0.0,0.04736842105263158,0.0,0.04736842105263158,0.015789473684210527,0.0,0.0,0.005263157894736842,0.0
T7,0.0,0.0,0.0,0.0,0.0,0.0,0.013806706114398421,0.08086785009861933,0.0,0.0,0.0,0.07100591715976332,0.047337278106508875,0.0,0.0,0.0,0.029585798816568046,0.0,0.0,0.0,0.045364891518737675,0.011834319526627219,0.04142011834319527,0.04930966469428008,0.021696252465483234,0.0019723865877712033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03747534516765286,0.0,0.04142011834319527,0.06903353057199212,0.0,0.0,0.08481262327416174,0.08678500986193294,0.0,0.05128205128205128,0.011834319526627219,0.047337278106508875,0.011834319526627219,0.0,0.01775147928994083,0.0,0.0,0.0,0.013806706114398421,0.0,0.04930966469428008,0.0,0.055226824457593686,0.005917159763313609,0.0,0.0,0.0019723865877712033,0.0
TP9,0.0,0.0,0.04854368932038835,0.019417475728155338,0.04854368932038835,0.0,0.0,0.0,0.038834951456310676,0.04854368932038835,0.04854368932038835,0.0,0.0,0.04854368932038835,0.04854368932038835,0.04854368932038835,0.0,0.0,0.04854368932038835,0.04854368932038835,0.0,0.0,0.0,0.0,0.0,0.0,0.04854368932038835,0.0,0.0,0.04854368932038835,0.0,0.038834951456310676,0.0,0.0,0.038834951456310676,0.0,0.0,0.0,0.0,0.0,0.0,0.04854368932038835,0.0,0.0,0.0,0.0,0.038834951456310676,0.0,0.04854368932038835,0.0,0.04854368932038835,0.0,0.04854368932038835,0.0,0.04854368932038835,0.0,0.0,0.0,0.04854368932038835,0.0,0.0
CP5,0.0,0.0,0.058981233243967826,0.005361930294906166,0.029490616621983913,0.0,0.002680965147453083,0.0,0.010723860589812333,0.0777479892761394,0.08579088471849866,0.0,0.002680965147453083,0.08310991957104558,0.064343163538874,0.0777479892761394,0.0,0.0,0.05361930294906166,0.064343163538874,0.0,0.0,0.0,0.0,0.002680965147453083,0.0,0.03485254691689008,0.0,0.0,0.03753351206434316,0.0,0.010723860589812333,0.0,0.0,0.01876675603217158,0.0,0.0,0.0,0.0,0.0,0.0,0.06970509383378017,0.0,0.005361930294906166,0.0,0.0,0.010723860589812333,0.002680965147453083,0.02680965147453083,0.0,0.021447721179624665,0.0,0.06970509383378017,0.0,0.058981233243967826,0.0,0.0,0.0,0.013404825737265416,0.0,0.0
CP1,0.0,0.0,0.05339805825242718,0.0048543689320388345,0.02669902912621359,0.0,0.0024271844660194173,0.0,0.009708737864077669,0.07766990291262135,0.10194174757281553,0.0,0.0024271844660194173,0.0970873786407767,0.06553398058252427,0.08495145631067962,0.0,0.0,0.050970873786407765,0.06067961165048544,0.0,0.0,0.0,0.0,0.0024271844660194173,0.0,0.03155339805825243,0.0,0.0,0.03398058252427184,0.0,0.009708737864077669,0.0,0.0,0.01699029126213592,0.0,0.0,0.0,0.0,0.0,0.0,0.06796116504854369,0.0,0.0048543689320388345,0.0,0.0,0.009708737864077669,0.0024271844660194173,0.024271844660194174,0.0,0.019417475728155338,0.0,0.07281553398058252,0.0,0.05339805825242718,0.0,0.0,0.0,0.012135922330097087,0.0,0.0
Pz,0.0,0.0,0.0,0.0,0.0,0.0,0.014344262295081968,0.07377049180327869,0.0,0.0,0.0,0.07172131147540983,0.04918032786885246,0.0,0.0,0.0,0.030737704918032786,0.0,0.0,0.0,0.0471311475409836,0.012295081967213115,0.0430327868852459,0.05122950819672131,0.022540983606557378,0.0020491803278688526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0389344262295082,0.0,0.0430327868852459,0.07172131147540983,0.0,0.0,0.07581967213114754,0.07581967213114754,0.0,0.05327868852459016,0.012295081967213115,0.04918032786885246,0.012295081967213115,0.0,0.018442622950819672,0.0,0.0,0.0,0.014344262295081968,0.0,0.05122950819672131,0.0,0.05737704918032787,0.006147540983606557,0.0,0.0,0.0020491803278688526,0.0
P3,0.0,0.0,0.0,0.0,0.0,0.0,0.018223234624145785,0.05922551252847381,0.0,0.0,0.0,0.05922551252847381,0.05466970387243736,0.0,0.0,0.0,0.03416856492027335,0.0,0.0,0.0,0.05239179954441914,0.01366742596810934,0.04555808656036447,0.05694760820045558,0.02733485193621868,0.002277904328018223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04328018223234624,0.0,0.05011389521640091,0.05922551252847381,0.0,0.0,0.05922551252847381,0.05922551252847381,0.0,0.05466970387243736,0.015945330296127564,0.05466970387243736,0.015945330296127564,0.0,0.022779043280182234,0.0,0.0,0.0,0.018223234624145785,0.0,0.05694760820045558,0.0,0.05694760820045558,0.00683371298405467,0.0,0.0,0.002277904328018223,0.0
P7,0.0,0.0,0.05432098765432099,0.0049382716049382715,0.027160493827160494,0.0,0.0024691358024691358,0.0,0.009876543209876543,0.07901234567901234,0.09876543209876543,0.0,0.0024691358024691358,0.09382716049382717,0.06419753086419754,0.08395061728395062,0.0,0.0,0.05185185185185185,0.06172839506172839,0.0,0.0,0.0,0.0,0.0024691358024691358,0.0,0.03209876543209877,0.0,0.0,0.0345679012345679,0.0,0.009876543209876543,0.0,0.0,0.01728395061728395,0.0,0.0,0.0,0.0,0.0,0.0,0.0691358024691358,0.0,0.0049382716049382715,0.0,0.0,0.009876543209876543,0.0024691358024691358,0.024691358024691357,0.0,0.019753086419753086,0.0,0.07160493827160494,0.0,0.05432098765432099,0.0,0.0,0.0,0.012345679012345678,0.0,0.0
O1,0.0,0.0,0.06162464985994398,0.0056022408963585435,0.03081232492997199,0.0,0.0,0.0,0.011204481792717087,0.07563025210084033,0.0784313725490196,0.0,0.0,0.07563025210084033,0.0700280112044818,0.07282913165266107,0.0,0.0,0.058823529411764705,0.0700280112044818,0.0,0.0,0.0,0.0,0.0,0.0,0.03361344537815126,0.0,0.0,0.0392156862745098,0.0,0.011204481792717087,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.07563025210084033,0.0,0.0028011204481792717,0.0,0.0,0.011204481792717087,0.0,0.028011204481792718,0.0,0.0196078431372549,0.0,0.07282913165266107,0.0,0.06162464985994398,0.0,0.0,0.0,0.014005602240896359,0.0,0.0
