,FT9,T7,TP9,O1,F1,P5,PO7,CPz
FT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T7,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.1111111111111111,0.0
TP9,0.0,0.0,0.603448275862069,0.39655172413793105,0.0,0.0,0.0,0.0
O1,0.0,0.0,0.5111111111111111,0.4888888888888889,0.0,0.0,0.0,0.0
F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PO7,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.42857142857142855,0.0
CPz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
