,F3,Pz,P4,CP2,FC2,AF7,AF3,P2
F3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pz,0.0,0.2506811989100817,0.2506811989100817,0.2506811989100817,0.24795640326975477,0.0,0.0,0.0
P4,0.0,0.2506811989100817,0.2506811989100817,0.2506811989100817,0.24795640326975477,0.0,0.0,0.0
CP2,0.0,0.2506811989100817,0.2506811989100817,0.2506811989100817,0.24795640326975477,0.0,0.0,0.0
FC2,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0
AF7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
