,entorhinal-rh,fusiform-lh,isthmuscingulate-rh,lingual-lh,lingual-rh,parahippocampal-lh,pericalcarine-lh,pericalcarine-rh
entorhinal-rh,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fusiform-lh,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
isthmuscingulate-rh,0.0,0.0,0.375,0.15625,0.203125,0.15625,0.109375,0.0
lingual-lh,0.01639344262295082,0.0,0.09836065573770492,0.3770491803278688,0.11475409836065574,0.39344262295081966,0.0,0.0
lingual-rh,0.0,0.0,0.2765957446808511,0.19148936170212766,0.3404255319148936,0.19148936170212766,0.0,0.0
parahippocampal-lh,0.03225806451612903,0.0,0.0967741935483871,0.3709677419354839,0.11290322580645161,0.3870967741935484,0.0,0.0
pericalcarine-lh,0.0,0.0,0.36,0.0,0.0,0.0,0.64,0.0
pericalcarine-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
